date,Andrew_Yang,Bernie_Sanders,Beto_ORourke,Cory_Booker,Donald_Trump,Elizabeth_Warren,Joe_Biden,Kamala_Harris,Pete_Buttigieg,Andrew_Yang_Term,Bernie_Sanders_Term,Beto_ORourke_Term,Cory_Booker_Term,Donald_Trump_Term,Elizabeth_Warren_Term,Joe_Biden_Term,Kamala_Harris_Term,Pete_Buttigieg_Term
2/7/2019,0,6,6,5,34,11,3,8,0,,,,,,,,,
2/8/2019,0,3,2,4,31,6,3,7,1,,,,,,,,,
2/9/2019,1,4,4,6,28,27,4,8,1,,,,,,Presidential Bid,,,
2/10/2019,1,4,4,5,31,26,5,7,2,Freakonomics,Net Worth,,Is Cory Booker married?,El Paso Immigration,,Is Joe running for President?,,Buttigieg
2/11/2019,1,3,8,3,35,11,4,16,1,,,,,,,,Tupac,
2/12/2019,3,3,47,3,37,7,4,16,1,,,El Paso Rally,,,Rob Lowe Tweet mocking,,,
2/13/2019,8,3,12,13,32,3,3,17,1,,,,,,,,,
2/14/2019,4,3,6,4,37,3,3,9,2,,,,,,,,,
2/15/2019,3,3,7,2,48,2,5,7,3,,,,,Trump declares State of Emergency,,,,
2/16/2019,2,3,7,2,38,2,6,8,2,,,,,,,,,
2/17/2019,2,6,6,4,37,3,6,9,1,Joe Rogan,Fundraising,Joe Biden,Jussie Smollett case,,How old is Warren?,Finnegan Biden,Jussie Smollett case,Who is Pete Buttigieg?
2/18/2019,2,6,3,4,36,2,6,8,1,,,,,,,,,
2/19/2019,3,97,7,4,40,4,14,13,2,,Presidential Bid,,,,,,,
2/20/2019,3,76,4,3,36,6,10,12,2,,,,,Robert Kraft,,,,
2/21/2019,2,40,4,4,34,3,7,19,1,,,,,,,,Jussie Smollett case,
2/22/2019,2,28,3,4,34,3,6,17,1,,,,,,,,,
2/23/2019,2,20,3,3,27,3,5,15,1,,,,,,,,,
2/24/2019,2,19,3,2,26,2,5,13,2,Andrew Yang 2020,Arrested for throwing eggs,Beto 2020,Jussie Smollett case,,,Hallie Biden,,Mayor Pete
2/25/2019,2,15,2,1,30,2,3,8,1,,,,,,,,,
2/26/2019,2,26,2,1,31,3,5,7,1,,,,,,,,,
2/27/2019,2,12,2,1,52,2,6,6,1,,,,,Trump hugging flag,,,,
2/28/2019,2,9,9,2,51,1,5,4,1,,,,,,,,,
3/1/2019,3,11,9,2,33,1,7,3,1,,,,,,,,,
3/2/2019,3,25,7,1,29,2,5,4,1,,,,,,,,,
3/3/2019,2,20,6,2,30,2,6,4,1,Net Worth,Justin Long,Announcement Presidency,Cory Booker 2020,,Elizabeth Warren age,Biden Pence,Legalizing prostitution,Buttigieg pronunciation
3/4/2019,2,18,4,2,29,2,4,3,1,,,,,,,,,
3/5/2019,2,11,3,1,31,1,5,3,1,,,,,,,,,
3/6/2019,2,9,3,1,28,1,5,3,1,,,,,,,,,
3/7/2019,3,9,3,2,28,1,6,3,1,,,,,,,,,
3/8/2019,6,9,3,1,30,4,7,3,1,,,,,,,,,
3/9/2019,4,10,4,5,26,4,6,3,1,,,,,,,,,
3/10/2019,6,11,7,2,26,3,12,3,1,Breakfast Club,Bank Fraud,Is Beto running in 2020?,Senator Cory Booker,Trump Tweets ,,Hunter Biden,Kamala Harris Husband,
3/11/2019,6,9,6,1,25,2,8,2,17,,,,,,,,,CNN Town Hall
3/12/2019,6,8,6,1,28,3,14,2,6,,,,,,,,,
3/13/2019,6,8,7,1,29,3,12,2,3,,,,,,,,,
3/14/2019,6,9,112,7,29,3,10,4,4,Policies,,Presidential Bid,,,,,,
3/15/2019,6,11,69,13,30,2,6,3,3,,,,Cory Booker dating,,CNN Townhall,,,
3/16/2019,4,11,48,5,26,2,8,3,5,,,,,,,,,
3/17/2019,4,10,41,3,27,2,14,3,10,,Injury,Fundraising,,New Zealand shooting,,Creepy Joe Biden,Kamala Harris Parents,Morning Joe
3/18/2019,6,10,51,4,32,2,13,3,6,,,,,,,,,
3/19/2019,7,9,36,3,28,9,11,3,5,,,,,,,,,
3/20/2019,6,8,25,8,29,3,11,6,9,Ben Shapiro,,,,,,,,
3/21/2019,4,8,18,5,29,2,11,3,12,,,,,,,,,
3/22/2019,4,7,16,3,30,2,9,3,11,,,,,,,,,
3/23/2019,3,9,12,2,34,2,6,4,10,,,,,,,,,
3/24/2019,3,10,11,2,36,2,6,3,10,,Rally San Francisco san francisco,Beto eats dirt,Girlfriend Rosalia,Michael Avenatti arrest,How Old is Warren?,Biden Ukraine,Jussie Smollett case,The View Appearance
3/25/2019,3,7,8,2,30,2,5,2,11,,,,,,,,,
3/26/2019,2,6,6,2,28,3,4,6,10,,,,,,,,,
3/27/2019,2,6,6,2,23,2,7,6,10,,,,,,,,,
3/28/2019,2,4,6,9,25,2,6,3,12,,,,Is Cory Booker married?,,,,,
3/29/2019,2,4,4,3,25,2,8,3,13,,,,,,,,,
3/30/2019,2,6,16,2,23,2,27,3,17,,,,,,,,,
3/31/2019,2,6,13,2,24,2,31,3,14,Yang 2020,Lucy Flores,Rally Austin,,Birthday,Warren 2020,Lucy Flores,Pete Buttigieg,Bill Maher Appearance
4/1/2019,2,7,11,2,25,2,44,3,16,,,,,,,,,
4/2/2019,2,7,8,2,25,2,41,3,20,,,,,,,,,
4/3/2019,3,7,8,1,28,2,43,3,16,,,,,,,,,
4/4/2019,3,7,7,1,28,2,42,3,17,,,,,,,,,
4/5/2019,3,9,6,2,28,2,42,3,12,,,,,,,,,
4/6/2019,4,8,6,2,25,2,28,2,13,,,,,,,,,
4/7/2019,4,7,4,1,24,1,31,2,17,Yang Gang,Rally Los Angeles,Vanity Fair,Cory Booker Height,Trump Windmills,CNN Townhall,SNL Biden,Mayor Pete,Pete Buttigieg Polls
4/8/2019,4,9,6,1,22,1,15,2,19,,,,,,,,,
4/9/2019,4,9,4,2,25,1,10,3,12,,,,,,,,,
4/10/2019,3,11,3,2,28,2,8,2,9,,,,,,,,,
4/11/2019,3,8,3,2,24,2,6,2,10,,,,,,,,,
4/12/2019,3,8,3,2,23,2,5,2,15,,,,,,,,,
4/13/2019,3,8,4,6,25,2,5,2,15,,,,,,,,,
4/14/2019,6,9,4,3,23,1,4,4,43,CNN Town Hall,Town Hall 2019,Beto O' Rourke,Peter Buttigieg,Notre Dam,Releases taxes,Joe Biden Scandal,Tax Return,Presidential Campaign
4/15/2019,7,17,4,2,31,1,6,3,35,,,,,,,,,
